Timestamp,Age:  ,Gender,Education Level,Occupation,Country of Residence:  ,Mobile Operating System(s) Used:  ,How many apps do you currently have installed on your smartphone?  ,How many hours per day do you typically use mobile apps? ,Which type of apps do you use most often? (Select up to 3)  ,Have you ever stopped using or deleted an app due to privacy concerns?  ,"If yes, what kind of data or permission made you uncomfortable?  ",How often do you read the privacy policy before installing a new app?,Have you ever denied an app permission it requested? ,Have you ever regretted sharing information with a mobile app?  ,"If yes, please briefly describe the situation",Have you ever been notified of a data breach or privacy incident related to an app you use? ,How familiar are you with app permissions and their functions?  ,Do you regularly review and update app permissions in your device settings? ,Do you use additional privacy/security features on your phone? (Select all that apply)  ,"Are you aware of privacy features or settings on your phone (e.g., location sharing, data access)?  ",Which permissions do you find most sensitive or invasive? (Select all that apply)  ,Do you think apps request more permissions than necessary?  ,"When installing a new app, how often do you check which permissions it requests?  ","If an app refuses to work without a certain permission, what do you do?  ","Have you ever faked or provided false data (e.g., fake name, fake email) to use an app?  ","How much do you trust the following types of apps with your personal data?
(Linear scale: 1 = Do not trust at all, 5 = Trust completely) [Social media (Facebook, Instagram, etc.)]","How much do you trust the following types of apps with your personal data?
(Linear scale: 1 = Do not trust at all, 5 = Trust completely) [Messaging (WhatsApp, Telegram, etc.)]","How much do you trust the following types of apps with your personal data?
(Linear scale: 1 = Do not trust at all, 5 = Trust completely) [Banking/Finance]","How much do you trust the following types of apps with your personal data?
(Linear scale: 1 = Do not trust at all, 5 = Trust completely) [Shopping/E-commerce]","How much do you trust the following types of apps with your personal data?
(Linear scale: 1 = Do not trust at all, 5 = Trust completely) [Health & Fitness]","How much do you trust the following types of apps with your personal data?
(Linear scale: 1 = Do not trust at all, 5 = Trust completely) [Government apps]",Would you allow more data access to an app if it offers more useful features?  ,Have you ever decided to use an app despite privacy concerns because it was popular or highly recommended?  ,Do you think your data privacy is protected by laws/regulations in your country?  ,I feel concerned about my privacy when using mobile apps.  ,I feel confident managing app permissions on my device. ,I believe most apps collect more data than necessary. ,I am willing to compromise some privacy for convenience or app features. ,I understand the risks of sharing personal information with apps. ,"I think app stores (e.g., Google Play, App Store) do enough to protect user privacy. ",I change my app usage habits if I hear about a privacy incident in the news. ,Please share any story or experience related to mobile app privacy that you think is important.  ,"In your opinion, what could app developers or companies do to better protect your privacy? ",Any other comments or suggestions about mobile app privacy? 
10/7/2025 14:25,18 - 24,Male,College/Undergraduate,Student,Sri Lanka,Android,20-Nov,More than 6 hours,"Social media, Messaging/Communication, Finance/Banking, Entertainment/Video/Music",No,,Rarely,Not sure,Not Sure,,No,Very familiar,Never,Encrypted messaging apps,Yes,"Location, Camera, Microphone, Photos/Media, Access to other apps",Never,Always,Uninstall or avoid using the app,"No, never",4,4,4,3,3,3,No,No,Not Sure,Neutral,Agree,Disagree,Neutral,Agree,Agree,Agree,,,
10/7/2025 14:48,25 - 34,Female,College/Undergraduate,Student,Sri Lanka,Android,20-Nov,More than 6 hours,"Social media, Messaging/Communication, Education",No,,Sometimes,"Yes, sometimes",No,,No,Not familiar at all,Sometimes,None,Yes,"Location, Camera, Microphone, Contacts, Photos/Media",Sometimes,Sometimes,Seek more information about the permission,"No, never",5,5,5,5,5,5,No,No,Not Sure,Strongly agree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,,,
10/7/2025 16:34,18 - 24,Female,College/Undergraduate,Employed,Sri Lanka,iOS,20-Nov,5 - 6 hours,Social media,I don't remember,,Sometimes,"Yes, sometimes",Not Sure,,Yes,Slightly familiar,Sometimes,App lock/password,Yes,"Location, Camera, Microphone, Contacts, Calendar, SMS/Call logs, Photos/Media, Device ID, Access to other apps",Sometimes,Always,Seek more information about the permission,"Yes, sometimes",5,5,5,5,5,5,Maybe,"Yes, Sometimes",Not Sure,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Agree,,,
10/7/2025 18:33,35 - 44,Male,College/Undergraduate,Employed,Sri Lanka,Android,21 - 40,5 - 6 hours,"Social media, Messaging/Communication, Education",Yes,Permission to view private data,Often,"Yes, sometimes",Not Sure,,Yes,Slightly familiar,Sometimes,"App lock/password, VPN",Yes,"Camera, Microphone, Photos/Media",Always,Often,Look for alternative apps,"No, never",2,2,1,2,3,3,Yes,"Yes, Sometimes",No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,
10/7/2025 21:28,25 - 34,Female,College/Undergraduate,Employed,Sri Lanka,Android,More than 40,3 - 4 hours,"Social media, Messaging/Communication, Shopping/E-commerce, Education, Entertainment/Video/Music",I don't remember,,Rarely,"Yes, sometimes",No,,No,Moderately familiar,Rarely,App lock/password,Yes,"Camera, Microphone, Contacts, SMS/Call logs, Photos/Media",Sometimes,Often,Seek more information about the permission,"No, never",3,3,3,4,4,4,Yes,No,Not Sure,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,,,
10/7/2025 21:29,18 - 24,Female,College/Undergraduate,Student,Sri Lanka,iOS,20-Nov,5 - 6 hours,"Social media, Messaging/Communication, Finance/Banking, Shopping/E-commerce, Health & Fitness, Education, News, Entertainment/Video/Music",No,,Sometimes,"Yes, Often",Not Sure,,No,Slightly familiar,Rarely,"App lock/password, VPN, Antivirus/security app",Yes,"Location, Camera, Microphone, Contacts, Calendar, SMS/Call logs, Photos/Media, Device ID, Access to other apps",Sometimes,Sometimes,Seek more information about the permission,"Yes, sometimes",3,3,4,4,4,4,Yes,"Yes, Sometimes",Yes,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Encryption of confidential data ,Encrypt those data,Display them in open 
10/7/2025 21:31,18 - 24,Female,College/Undergraduate,Student,Sri Lanka,iOS,21 - 40,5 - 6 hours,"Social media, Messaging/Communication, Shopping/E-commerce",Yes,,Never,"Yes, sometimes",Yes,,Not Sure,Moderately familiar,Rarely,App lock/password,Not Sure,"Location, Camera, SMS/Call logs, Photos/Media, Device ID",Rarely,Sometimes,Seek more information about the permission,"Yes, often",2,3,2,3,4,3,Maybe,Not Sure,Yes,Strongly agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,,,
10/7/2025 21:31,18 - 24,Male,College/Undergraduate,Student,Sri Lanka,Android,21 - 40,More than 6 hours,"Social media, Messaging/Communication, Finance/Banking",I don't remember,,Rarely,"Yes, sometimes",Not Sure,,Not Sure,Moderately familiar,Rarely,App lock/password,Yes,"Camera, Microphone, Photos/Media",Sometimes,Sometimes,Grant the permission,"Yes, sometimes",3,3,4,3,3,3,No,Not Sure,Yes,Agree,Agree,Agree,Disagree,Strongly agree,Neutral,Agree,,,
10/7/2025 21:32,18 - 24,Female,College/Undergraduate,Student,Sri Lanka,iOS,21 - 40,More than 6 hours,"Social media, Messaging/Communication, Entertainment/Video/Music",I don't remember,,Rarely,"Yes, sometimes",Not Sure,,No,Moderately familiar,Sometimes,VPN,Yes,"Location, Photos/Media, Device ID",Sometimes,Sometimes,Seek more information about the permission,"Yes, sometimes",3,4,4,4,4,4,No,No,Not Sure,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,,,
10/7/2025 21:32,18 - 24,Male,College/Undergraduate,Employed,Sri Lanka,Both,20-Nov,More than 6 hours,"Social media, Messaging/Communication, Entertainment/Video/Music",Yes,Privacy details,Sometimes,"Yes, sometimes",No,,Yes,Moderately familiar,Rarely,"App lock/password, Privacy browser",Yes,"Camera, Microphone, Photos/Media, Device ID",Often,Sometimes,Uninstall or avoid using the app,"Yes, sometimes",4,4,3,2,3,3,Maybe,"Yes, Sometimes",Not Sure,Agree,Neutral,Agree,Neutral,Strongly agree,Neutral,Agree,,,
10/7/2025 21:36,18 - 24,Female,College/Undergraduate,Employed,Sri Lanka,Android,20-Nov,3 - 4 hours,"Social media, Messaging/Communication, Entertainment/Video/Music",Yes,"Video Makers,games",Rarely,"Yes, sometimes",Yes,"After installing, it asked for permission for my files, and i check the rate and it was low,,so i deleted ",No,Slightly familiar,Never,"Antivirus/security app, Privacy browser",Not Sure,"Camera, SMS/Call logs, Photos/Media, Device ID",Rarely,Sometimes,Seek more information about the permission,"Yes, often",4,5,5,4,3,3,Yes,"Yes, Often",Yes,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Neutral,Agree,,,
10/7/2025 21:37,18 - 24,Female,College/Undergraduate,Student,Sri Lanka,Android,More than 40,More than 6 hours,Social media,Yes,Storage,Often,"Yes, Often",Yes,,No,Slightly familiar,Rarely,"App lock/password, VPN, Antivirus/security app, Privacy browser, Encrypted messaging apps",Yes,"Location, Camera, Microphone, Contacts, SMS/Call logs, Photos/Media, Device ID, Access to other apps",Often,Often,Uninstall or avoid using the app,"Yes, often",2,2,3,2,2,1,No,"Yes, Often",Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
10/7/2025 21:39,25 - 34,Male,College/Undergraduate,Employed,Sri Lanka,Android,20-Nov,More than 6 hours,"Social media, Education, Entertainment/Video/Music",I don't remember,,Rarely,"Yes, Often",Not Sure,,Not Sure,Moderately familiar,Sometimes,App lock/password,Yes,"Location, Camera, Microphone, Device ID",Sometimes,Rarely,Look for alternative apps,"Yes, sometimes",3,3,3,3,3,3,Maybe,"Yes, Sometimes",Not Sure,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,,,
10/7/2025 21:39,18 - 24,Female,College/Undergraduate,Student,Sri Lanka,Android,10-Jun,3 - 4 hours,"Social media, Messaging/Communication, Finance/Banking, Shopping/E-commerce, Productivity/Work, Education, News, Entertainment/Video/Music",No,,Sometimes,"Yes, sometimes",Not Sure,,Yes,Slightly familiar,Sometimes,App lock/password,Yes,"Location, Camera, Microphone, Contacts, Calendar, SMS/Call logs, Photos/Media, Device ID, Access to other apps",Always,Rarely,Uninstall or avoid using the app,"No, never",1,1,1,1,1,1,Yes,"Yes, Sometimes",No,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Absolutely â€” here's a real and important story that highlights the importance of mobile app privacy.,"Great question â€” and an important one. In my opinion, app developers and companies can do a lot more to protect user privacy.",Yes â€” here are a few final comments and suggestions about mobile app privacy that are often overlooked but critical for both users and developers:
10/7/2025 21:46,25 - 34,Male,College/Undergraduate,Unemployed,Sri Lanka,Android,21 - 40,5 - 6 hours,"Social media, Messaging/Communication, Education, News, Entertainment/Video/Music",Yes,Control over device application ,Never,"Yes, Often",Not Sure,,Not Sure,Very familiar,Sometimes,"App lock/password, Antivirus/security app, Privacy browser",Yes,"Location, Camera, Microphone, Contacts, Calendar, SMS/Call logs, Photos/Media, Device ID, Access to other apps",Sometimes,Often,Seek more information about the permission,"Yes, sometimes",3,3,4,2,3,4,Yes,"Yes, Sometimes",No,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,,,
10/7/2025 22:22,18 - 24,Male,College/Undergraduate,Student,Sri Lanka,Android,20-Nov,5 - 6 hours,"Social media, Messaging/Communication, Finance/Banking",I don't remember,,Rarely,"Yes, sometimes",Not Sure,,No,Slightly familiar,Rarely,"App lock/password, VPN, Encrypted messaging apps",No,"Camera, Microphone, Photos/Media, Access to other apps",Sometimes,Rarely,Look for alternative apps,"Yes, sometimes",2,3,5,2,2,2,Yes,"Yes, Sometimes",No,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,,,
11/7/2025 0:02,18 - 24,Male,College/Undergraduate,Employed,Sri Lanka,Android,21 - 40,3 - 4 hours,"Social media, Entertainment/Video/Music",Yes,"Camera, Microphone",Never,"Yes, Often",No,,Yes,Very familiar,Rarely,"App lock/password, VPN",Yes,"Camera, Microphone, Photos/Media",Sometimes,Sometimes,Grant the permission,"Yes, often",2,3,4,1,2,1,Maybe,"Yes, Sometimes",No,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,,,
11/7/2025 0:10,18 - 24,Female,College/Undergraduate,Student,Sri Lanka,Android,10-Jun,5 - 6 hours,"Social media, Messaging/Communication, Finance/Banking, Shopping/E-commerce, Health & Fitness, Education, News, Entertainment/Video/Music",Yes,ask card details before using it ,Rarely,"Yes, sometimes",Not Sure,,Not Sure,Moderately familiar,Sometimes,"App lock/password, VPN",Yes,"Location, Camera, Microphone, Photos/Media, Device ID, Access to other apps",Sometimes,Sometimes,Look for alternative apps,"Yes, sometimes",3,4,3,3,5,2,Maybe,"Yes, Often",No,Agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Agree,,,
11/7/2025 0:12,18 - 24,Female,College/Undergraduate,Student,Sri Lanka,Android,20-Nov,More than 6 hours,"Social media, Messaging/Communication, Productivity/Work, Education, Entertainment/Video/Music",Yes,Knowing the owners sell our data to third parties ,Rarely,"Yes, Often",Not Sure,,Yes,Slightly familiar,Often,"App lock/password, None",Yes,"Location, Camera, Microphone, Contacts, Photos/Media",Sometimes,Often,Seek more information about the permission,"Yes, sometimes",1,1,4,4,4,1,Yes,"Yes, Sometimes",Yes,Strongly agree,Disagree,Neutral,Agree,Agree,Neutral,Strongly agree,Recently with adults above 60 started to use mobile phones highly without the knowledge they deserve to know about handeling them leads to unforeseen losses in various aspects. All these happens because they don't know the limit to share their personal /sensitive details ,Making the terms and privacy catalogues more friendly to read and looking from the users point of view. Privacy protection in cyber world gonna be the key demand in near future. If the developers can upfront that feature it's gonna make a mutual benefit to both customers and device selling companies ,Mobile Apps are severely damaging to the confidentiality. Worst is people don't even know how they are being manipulated even after serious incidents. 
11/7/2025 0:50,18 - 24,Female,College/Undergraduate,Student,Sri Lanka,Android,10-Jun,3 - 4 hours,"Social media, Messaging/Communication",No,,Never,"No, never",No,,Not Sure,Slightly familiar,Never,App lock/password,Yes,"Camera, Photos/Media",Sometimes,Never,Grant the permission,"No, never",3,3,5,2,4,4,Maybe,Not Sure,No,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,,,
11/7/2025 10:33,18 - 24,Female,College/Undergraduate,Student,Sri Lanka,Android,10-Jun,More than 6 hours,"Social media, Productivity/Work, Entertainment/Video/Music",I don't remember,,Rarely,"Yes, sometimes",No,,Yes,Moderately familiar,Rarely,None,Yes,"Camera, Photos/Media, Device ID",Sometimes,Rarely,Look for alternative apps,"Yes, sometimes",1,2,3,2,3,2,No,"Yes, Sometimes",Not Sure,Strongly agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,,,
11/7/2025 10:38,25 - 34,Female,College/Undergraduate,Student,Sri Lanka,Android,20-Nov,3 - 4 hours,"Social media, Messaging/Communication, Finance/Banking, Shopping/E-commerce, Education, News, Entertainment/Video/Music",I don't remember,,Often,"Yes, sometimes",No,,No,Moderately familiar,Sometimes,"App lock/password, Antivirus/security app",Yes,"Camera, Contacts, Photos/Media, Device ID, Access to other apps",Rarely,Sometimes,Look for alternative apps,"No, never",3,3,4,4,3,4,Maybe,No,Not Sure,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,"No experience. Oftenly if there's any privacy concerns in app, first I read it ccarefully and then decide wheather I should go ahead with this app or select any alternative insterd of that.",The app should provide the features without requesting much more privacy details from customers  and also should responsible to protect the privacy of customers ,It's a good consept. But some barriers have blocked the usage . Further development is needed.
11/7/2025 10:46,18 - 24,Female,College/Undergraduate,Student,Sri Lanka,Android,20-Nov,3 - 4 hours,"Social media, Games",I don't remember,,Rarely,Not sure,Not Sure,,Not Sure,Slightly familiar,Rarely,App lock/password,Not Sure,"Location, Camera, Photos/Media",Rarely,Sometimes,Uninstall or avoid using the app,"No, never",3,3,2,3,4,2,No,"Yes, Sometimes",Not Sure,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,,,
11/7/2025 11:54,25 - 34,Female,College/Undergraduate,Unemployed,Sri Lanka,Android,10-Jun,1 - 2 hours,"Social media, Messaging/Communication, Shopping/E-commerce, Games",Yes,,Always,"Yes, sometimes",Yes,,No,Moderately familiar,Sometimes,Antivirus/security app,No,"Location, Camera, Microphone, Contacts, Photos/Media",Often,Sometimes,Look for alternative apps,"Yes, sometimes",2,2,2,2,2,2,No,"Yes, Sometimes",No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,
12/7/2025 10:15,25 - 34,Male,College/Undergraduate,Student,Sri Lanka,iOS,21 - 40,More than 6 hours,"Social media, Messaging/Communication, Finance/Banking",Yes,They request access to contacts and photos,Rarely,"Yes, sometimes",No,,Not Sure,Moderately familiar,Often,"App lock/password, Encrypted messaging apps",Yes,"Location, Camera, Contacts, SMS/Call logs, Photos/Media",Sometimes,Often,Seek more information about the permission,"No, never",1,3,3,2,3,3,Maybe,No,Yes,Neutral,Neutral,Agree,Strongly disagree,Strongly agree,Disagree,Agree,,,
12/7/2025 14:40,25 - 34,Female,College/Undergraduate,Student,Sri Lanka,Both,20-Nov,3 - 4 hours,"Social media, Messaging/Communication, Finance/Banking, Education",Yes,asking access to media,Sometimes,"Yes, sometimes",Yes,asking access to media,Yes,Moderately familiar,Often,"App lock/password, Antivirus/security app, Privacy browser, Encrypted messaging apps",Yes,"Camera, SMS/Call logs, Photos/Media, Device ID",Rarely,Rarely,Seek more information about the permission,"Yes, sometimes",1,2,2,1,4,3,Maybe,"Yes, Sometimes",Not Sure,Strongly agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,,,
12/7/2025 14:44,25 - 34,Female,College/Undergraduate,Student,Sri Lanka,Android,5-Jan,5 - 6 hours,"Social media, Messaging/Communication, Finance/Banking",No,,Always,"Yes, sometimes",Not Sure,,Not Sure,Slightly familiar,Rarely,VPN,Yes,"Location, Camera, Microphone, Contacts",Sometimes,Often,Look for alternative apps,"Yes, sometimes",2,4,4,2,4,3,No,No,Not Sure,Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,,,
12/7/2025 14:55,25 - 34,Female,College/Undergraduate,Unemployed,Sri Lanka,Android,More than 40,3 - 4 hours,"Social media, Messaging/Communication, Finance/Banking, Shopping/E-commerce, Education, News",Yes,Aksed unnecessary access like gallery and contacts ,Sometimes,"Yes, sometimes",Yes,,Yes,Very familiar,Sometimes,App lock/password,Yes,"Location, Camera, Contacts, Photos/Media",Sometimes,Sometimes,Look for alternative apps,"Yes, sometimes",4,4,4,4,4,4,Maybe,No,Yes,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Neutral,Agree,,They should limited the access policy.,
12/7/2025 16:51,18 - 24,Male,College/Undergraduate,Student,Sri Lanka,iOS,More than 40,5 - 6 hours,"Social media, Messaging/Communication, Finance/Banking, Shopping/E-commerce",Yes,Storage Access,Rarely,"Yes, sometimes",No,,Not Sure,Moderately familiar,Sometimes,App lock/password,Yes,"Contacts, SMS/Call logs, Photos/Media, Access to other apps",Sometimes,Rarely,Uninstall or avoid using the app,"Yes, sometimes",3,3,4,4,3,4,No,"Yes, Sometimes",Not Sure,Neutral,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,,,
12/7/2025 17:01,18 - 24,Male,College/Undergraduate,Student,Sri Lanka,iOS,More than 40,5 - 6 hours,"Social media, Messaging/Communication, Shopping/E-commerce, Games, Productivity/Work, Entertainment/Video/Music",I don't remember,,Never,"Yes, sometimes",No,,Yes,Moderately familiar,Never,App lock/password,Yes,"Camera, Microphone, SMS/Call logs, Photos/Media",Sometimes,Sometimes,Grant the permission,"Yes, sometimes",2,2,4,3,4,1,Maybe,"Yes, Often",Not Sure,Agree,Disagree,Strongly agree,Agree,Agree,Neutral,Agree,,,
12/7/2025 17:11,18 - 24,Male,College/Undergraduate,Student,Sri Lanka,Android,20-Nov,5 - 6 hours,"Social media, Games, Entertainment/Video/Music",No,,Rarely,"No, never",No,,Not Sure,Slightly familiar,Never,"App lock/password, Antivirus/security app",No,"Camera, Microphone, SMS/Call logs, Photos/Media, Access to other apps",Rarely,Rarely,Uninstall or avoid using the app,"Yes, sometimes",4,3,3,3,3,4,Maybe,No,Not Sure,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,"If the app dont use with 2 step verification ,it can be lost and share some data",They can get less information ,
